,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
415,776,1016,Image4,0.0,Image2,7828.0,44,21,male,30
416,777,1016,Image5,1.0,Image5,1977.0,8,21,male,8
417,778,1016,Image2,1.0,Image2,5347.0,31,21,male,38
418,779,1016,Image1,1.0,Image1,6394.0,18,21,male,34
419,780,1016,Image5,1.0,Image5,1912.0,6,21,male,5
420,781,1016,Image4,1.0,Image4,2601.0,7,21,male,9
421,782,1016,Image1,1.0,Image1,3556.0,11,21,male,10
422,783,1016,Image2,1.0,Image2,1243.0,5,21,male,4
423,784,1016,Image1,1.0,Image1,7716.0,12,21,male,15
424,785,1016,Image4,1.0,Image4,4575.0,23,21,male,19
425,786,1016,Image3,1.0,Image3,4167.0,37,21,male,11
428,789,1016,Image4,1.0,Image4,4675.0,3,21,male,6
429,790,1016,Image6,1.0,Image6,6883.0,16,21,male,31
430,791,1016,Image1,1.0,Image1,2233.0,4,21,male,3
431,792,1016,Image6,0.0,Image4,11987.0,34,21,male,45
432,793,1016,Image5,1.0,Image5,12122.0,13,21,male,21
433,794,1016,Image1,0.0,Image3,9416.0,39,21,male,40
434,795,1016,Image3,0.0,Image4,9161.0,45,21,male,33
435,796,1016,Image3,1.0,Image3,8163.0,26,21,male,16
436,797,1016,Image4,0.0,Image3,13003.0,21,21,male,37
437,798,1016,Image5,0.0,Image4,2973.0,22,21,male,35
438,799,1016,Image6,1.0,Image6,3978.0,36,21,male,39
439,800,1016,Image2,1.0,Image2,1613.0,10,21,male,7
440,801,1016,Image5,1.0,Image5,2679.0,9,21,male,23
441,802,1016,Image2,1.0,Image2,3554.0,17,21,male,22
442,803,1016,Image5,1.0,Image5,5351.0,30,21,male,26
443,804,1016,Image5,1.0,Image5,3592.0,40,21,male,12
444,805,1016,Image6,1.0,Image6,4024.0,14,21,male,13
445,806,1016,Image3,1.0,Image3,2843.0,42,21,male,28
446,807,1016,Image3,1.0,Image3,4684.0,24,21,male,18
447,808,1016,Image6,1.0,Image6,8132.0,38,21,male,29
